"season","game_id","game_date","session","event_index","game_period","game_seconds","event_type","event_description","event_detail","event_zone","event_team","event_player_1","event_player_2","event_player_3","event_length","coords_x","coords_y","num_on","num_off","players_on","players_off","home_on_1","home_on_2","home_on_3","home_on_4","home_on_5","home_on_6","home_on_7","away_on_1","away_on_2","away_on_3","away_on_4","away_on_5","away_on_6","away_on_7","home_goalie","away_goalie","home_team","away_team","home_skaters","away_skaters","home_score","away_score","game_score_state","game_strength_state"
20192020,2019020001,"2019-10-02","R",1,1,0,"PGSTR"," ",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TOR","OTT",0,0,0,0,"0v0","EvE"
20192020,2019020001,"2019-10-02","R",2,1,0,"PGEND"," ",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TOR","OTT",0,0,0,0,"0v0","EvE"
20192020,2019020001,"2019-10-02","R",3,1,0,"ANTHEM"," ",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TOR","OTT",0,0,0,0,"0v0","EvE"
20192020,2019020001,"2019-10-02","R",4,1,0,"PSTR","Period Start- Local time: 7:13 EDT","7:13 EDT",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TOR","OTT",0,0,0,0,"0v0","EvE"
20192020,2019020001,"2019-10-02","R",5,1,0,"CHANGE",NA,NA,NA,"OTT",NA,NA,NA,0,NA,NA,6,0,"OTT7, OTT36, OTT28, OTT41, OTT26, OTT81",NA,NA,NA,NA,NA,NA,NA,NA,"BRADY.TKACHUK","COLIN.WHITE2","CONNOR.BROWN","CRAIG.ANDERSON","ERIK.BRANNSTROM","RON.HAINSEY",NA,NA,"CRAIG.ANDERSON","TOR","OTT",0,5,0,0,"0v0","Ev5"
20192020,2019020001,"2019-10-02","R",6,1,0,"CHANGE",NA,NA,NA,"TOR",NA,NA,NA,0,NA,NA,6,0,"TOR83, TOR31, TOR91, TOR24, TOR16, TOR44",NA,"CODY.CECI","FREDERIK.ANDERSEN","JOHN.TAVARES","KASPERI.KAPANEN","MITCH.MARNER","MORGAN.RIELLY",NA,"BRADY.TKACHUK","COLIN.WHITE2","CONNOR.BROWN","CRAIG.ANDERSON","ERIK.BRANNSTROM","RON.HAINSEY",NA,"FREDERIK.ANDERSEN","CRAIG.ANDERSON","TOR","OTT",5,5,0,0,"0v0","5v5"
20192020,2019020001,"2019-10-02","R",7,1,0,"FAC","TOR won Neu. Zone - OTT #36 WHITE vs TOR #91 TAVARES",NA,"Neu","TOR","COLIN.WHITE2","JOHN.TAVARES",NA,25,0,0,NA,NA,NA,NA,"CODY.CECI","FREDERIK.ANDERSEN","JOHN.TAVARES","KASPERI.KAPANEN","MITCH.MARNER","MORGAN.RIELLY",NA,"BRADY.TKACHUK","COLIN.WHITE2","CONNOR.BROWN","CRAIG.ANDERSON","ERIK.BRANNSTROM","RON.HAINSEY",NA,"FREDERIK.ANDERSEN","CRAIG.ANDERSON","TOR","OTT",5,5,0,0,"0v0","5v5"
20192020,2019020001,"2019-10-02","R",8,1,25,"GOAL","OTT #7 TKACHUK(1), Tip-In, Off. Zone, 4 ft.Assists: #28 BROWN(1); #36 WHITE(1)","Tip-In","Off","OTT","BRADY.TKACHUK","CONNOR.BROWN","COLIN.WHITE2",0,85,-1,NA,NA,NA,NA,"CODY.CECI","FREDERIK.ANDERSEN","JOHN.TAVARES","KASPERI.KAPANEN","MITCH.MARNER","MORGAN.RIELLY",NA,"BRADY.TKACHUK","COLIN.WHITE2","CONNOR.BROWN","CRAIG.ANDERSON","ERIK.BRANNSTROM","RON.HAINSEY",NA,"FREDERIK.ANDERSEN","CRAIG.ANDERSON","TOR","OTT",5,5,0,0,"0v0","5v5"
20192020,2019020001,"2019-10-02","R",9,1,25,"CHANGE",NA,NA,NA,"OTT",NA,NA,NA,0,NA,NA,5,5,"OTT10, OTT9, OTT71, OTT22, OTT72","OTT7, OTT36, OTT28, OTT26, OTT81","CODY.CECI","FREDERIK.ANDERSEN","JOHN.TAVARES","KASPERI.KAPANEN","MITCH.MARNER","MORGAN.RIELLY",NA,"ANTHONY.DUCLAIR","BOBBY.RYAN","CHRIS.TIERNEY","CRAIG.ANDERSON","NIKITA.ZAITSEV","THOMAS.CHABOT",NA,"FREDERIK.ANDERSEN","CRAIG.ANDERSON","TOR","OTT",5,5,0,1,"0v1","5v5"
20192020,2019020001,"2019-10-02","R",10,1,25,"CHANGE",NA,NA,NA,"TOR",NA,NA,NA,0,NA,NA,5,5,"TOR18, TOR34, TOR8, TOR94, TOR88","TOR83, TOR91, TOR24, TOR16, TOR44","ANDREAS.JOHNSSON","AUSTON.MATTHEWS","FREDERIK.ANDERSEN","JAKE.MUZZIN","TYSON.BARRIE","WILLIAM.NYLANDER",NA,"ANTHONY.DUCLAIR","BOBBY.RYAN","CHRIS.TIERNEY","CRAIG.ANDERSON","NIKITA.ZAITSEV","THOMAS.CHABOT",NA,"FREDERIK.ANDERSEN","CRAIG.ANDERSON","TOR","OTT",5,5,0,1,"0v1","5v5"
