"game_id","pbp_base","pbp_extras","player_shifts","player_periods","roster_df","scratches_df","events_summary_df","game_info_df","time_elapsed"
2019020001,711,711,829,114,38,5,38,1,4.6
2019020001,711,711,829,114,38,5,38,1,10.41
2019020001,711,711,829,114,38,5,38,1,5.71
2019020002,646,646,801,133,38,6,38,1,7.73
2019020003,617,617,757,114,38,5,38,1,6.02
2019020004,698,698,727,112,38,6,38,1,6.2
2019020005,582,582,735,114,38,3,38,1,5.93
2019020006,704,704,759,114,38,5,38,1,6.04
2019020007,681,681,804,114,38,5,38,1,7.66
2019020008,746,746,821,136,38,0,38,1,6.72
2019020009,559,559,737,114,38,4,38,1,5.73
2019020010,641,641,801,110,38,4,38,1,5.47
2019020011,655,655,837,114,38,5,38,1,5.39
2019020012,604,604,809,114,38,5,38,1,13.77
2019020013,602,602,788,135,39,6,39,1,8.23
2019020014,636,636,762,114,38,5,38,1,6.26
2019020015,623,623,782,114,38,6,38,1,6
2019020016,645,645,795,114,38,3,38,1,6.88
2019020017,615,615,722,112,39,5,39,1,6.62
2019020018,559,559,745,114,38,5,38,1,5.64
2019020019,779,779,844,137,38,6,38,1,8.8
2019020020,655,655,758,114,38,4,38,1,5.21
2019020021,621,621,723,114,38,3,38,1,5.65
2019020022,649,649,753,113,38,6,38,1,5.81
2019020023,665,665,814,139,38,0,38,1,7.35
2019020024,637,637,820,114,38,6,38,1,5.89
2019020025,632,632,824,114,38,5,38,1,6.54
2019020026,613,613,774,114,38,5,38,1,6.58
2019020027,677,677,800,114,38,4,38,1,7.29
2019020028,669,669,777,114,38,4,38,1,6.22
2019020029,616,616,767,114,38,6,38,1,7.74
2019020030,578,578,773,113,38,6,38,1,11.14
2019020031,700,700,858,132,38,0,38,1,6.87
2019020032,562,562,796,113,38,6,38,1,9.27
2019020033,623,623,755,114,38,6,38,1,6.68
2019020034,649,649,752,114,38,6,38,1,7.73
2019020001,711,711,829,114,38,5,38,1,6.91
2019020002,646,646,801,133,38,6,38,1,7
2019020003,617,617,757,114,38,5,38,1,6.7
2019020004,698,698,727,112,38,6,38,1,8.29
2019020005,582,582,735,114,38,3,38,1,22.53
2019020006,704,704,759,114,38,5,38,1,6.82
2019020007,681,681,804,114,38,5,38,1,6.98
2019020008,746,746,821,136,38,0,38,1,57
2019020009,559,559,737,114,38,4,38,1,12.37
2019020010,641,641,801,110,38,4,38,1,6.28
2019020011,655,655,837,114,38,5,38,1,6.29
2019020001,711,711,829,114,38,5,38,1,6.37
2019020002,646,646,801,133,38,6,38,1,6.42
2019020003,617,617,757,114,38,5,38,1,6.22
2019020004,698,698,727,112,38,6,38,1,7.45
2019020005,582,582,735,114,38,3,38,1,6.14
2019020006,704,704,759,114,38,5,38,1,5.8
2019020007,681,681,804,114,38,5,38,1,6.06
2019020008,746,746,821,136,38,0,38,1,5.96
2019020009,559,559,737,114,38,4,38,1,5.87
2019020010,641,641,801,110,38,4,38,1,5.84
2019020011,655,655,837,114,38,5,38,1,6.6
2019020012,604,604,809,114,38,5,38,1,6
2019020013,602,602,788,135,39,6,39,1,6.41
2019020014,636,636,762,114,38,5,38,1,9.05
2019020015,623,623,782,114,38,6,38,1,6.17
2019020016,645,645,795,114,38,3,38,1,5.87
2019020017,615,615,722,112,39,5,39,1,6.42
2019020018,559,559,745,114,38,5,38,1,4.78
2019020019,779,779,844,137,38,6,38,1,7.18
2019020020,655,655,758,114,38,4,38,1,6.53
2019020021,621,621,723,114,38,3,38,1,5.86
2019020022,649,649,753,113,38,6,38,1,6.56
2019020023,665,665,814,139,38,0,38,1,5.84
2019020024,637,637,820,114,38,6,38,1,5.94
2019020025,632,632,824,114,38,5,38,1,8.02
2019020027,677,677,800,114,38,4,38,1,5.75
2019020028,669,669,777,114,38,4,38,1,6.92
2019020029,616,616,767,114,38,6,38,1,6.07
2019020030,578,578,773,113,38,6,38,1,7.45
2019020031,700,700,858,132,38,0,38,1,8.27
2019020032,562,562,796,113,38,6,38,1,5.92
2019020033,623,623,755,114,38,6,38,1,7
2019020034,649,649,752,114,38,6,38,1,9.07
2019020035,581,581,780,132,38,5,38,1,7.53
2019020036,628,628,739,114,39,0,39,1,7.97
2019020037,594,594,715,115,39,6,39,1,5.59
2019020038,634,634,781,112,38,6,38,1,9.54
2019020039,637,637,826,126,38,4,38,1,5.71
2019020040,558,558,735,114,38,5,38,1,5.23
2019020041,607,607,771,114,38,5,38,1,6.82
2019020042,731,731,845,124,38,5,38,1,6.39
2019020043,700,700,752,114,38,4,38,1,6.1
2019020044,602,602,766,125,38,5,38,1,7.33
2019020045,659,659,805,114,38,4,38,1,6.43
2019020046,696,696,821,114,38,5,38,1,5.76
2019020047,631,631,770,115,39,4,39,1,6.01
2019020048,689,689,810,114,38,5,38,1,6.39
2019020049,639,639,797,131,38,6,38,1,6.87
2019020050,709,709,823,112,38,6,38,1,5.78
2019020051,677,677,824,114,38,5,38,1,7.77
2019020052,593,593,764,114,38,3,38,1,6.33
2019020053,634,634,711,114,38,5,38,1,6.48
2019020054,651,651,750,111,38,5,38,1,6.63
2019020055,721,721,845,137,38,4,38,1,6.38
2019020056,690,690,817,114,38,6,38,1,6.34
2019020057,651,651,767,114,39,5,39,1,7.26
2019020058,606,606,765,135,38,4,38,1,6.66
2019020059,606,606,745,114,38,6,38,1,6.18
2019020060,663,663,781,114,38,4,38,1,6.14
2019020061,635,635,734,114,38,4,38,1,5.84
2019020062,654,654,750,112,38,3,38,1,5.25
2019020063,618,618,789,114,38,5,38,1,6
2019020064,601,601,733,114,38,6,38,1,5.23
2019020065,680,680,834,114,38,6,38,1,7.16
2019020066,637,637,760,114,38,5,38,1,5.83
2019020067,688,688,783,133,38,5,38,1,6.36
2019020068,616,616,751,114,38,5,38,1,6.47
2019020069,656,656,717,123,38,5,38,1,5.77
2019020070,620,620,757,114,38,3,38,1,6.18
2019020071,635,635,815,115,39,5,39,1,5.59
2019020072,655,655,825,132,38,6,38,1,7.18
2019020073,773,773,897,138,38,3,38,1,6.19
2019020074,633,633,755,114,38,5,38,1,7.3
2019020075,637,637,808,114,38,5,38,1,6.06
2019020076,633,633,739,114,38,6,38,1,6.49
2019020077,594,594,751,114,38,5,38,1,14.07
2019020078,652,652,795,113,38,6,38,1,6.53
2019020079,671,671,773,114,38,6,38,1,6.28
2019020080,574,574,758,112,38,5,38,1,6.31
2019020081,678,678,781,127,38,6,38,1,6.37
2019020082,586,586,786,114,38,5,38,1,6.37
2019020083,628,628,718,115,39,4,39,1,6.59
2019020084,633,633,715,113,38,6,38,1,6.68
2019020085,668,668,776,114,38,6,38,1,5.86
2019020086,661,661,756,114,38,4,38,1,6.81
2019020087,598,598,767,113,38,5,38,1,7
2019020088,628,628,825,114,38,4,38,1,6.24
2019020089,670,670,818,114,38,6,38,1,5.89
2019020090,712,712,811,114,38,5,38,1,6.92
2019020091,558,558,757,114,38,4,38,1,6.56
2019020092,708,708,808,137,38,6,38,1,7.87
2019020093,615,615,743,112,38,4,38,1,13.17
2019020094,608,608,811,114,38,5,38,1,7.07
2019020095,653,653,805,115,39,5,39,1,10.55
2019020096,576,576,768,114,38,5,38,1,5.4
2019020097,587,587,746,114,38,4,38,1,5.56
2019020098,718,718,833,136,38,4,38,1,5.76
2019020099,667,667,762,113,38,6,38,1,6.65
2019020100,610,610,760,114,38,4,38,1,10.87
2019020101,674,674,817,135,38,6,38,1,5.91
2019020102,654,654,787,113,38,5,38,1,6.23
2019020103,632,632,740,113,38,5,38,1,7.01
2019020104,605,605,829,112,38,5,38,1,6.78
2019020105,805,805,804,135,38,5,38,1,7.05
2019020106,608,608,731,114,38,6,38,1,5.97
2019020107,612,612,732,134,38,5,38,1,6.17
2019020108,640,640,840,114,38,5,38,1,6.5
2019020109,571,571,742,113,38,4,38,1,7.04
2019020110,627,627,756,123,38,6,38,1,6.57
2019020111,605,605,737,114,38,6,38,1,6.11
2019020112,585,585,821,114,39,0,39,1,8.03
2019020113,584,584,754,114,38,6,38,1,6.81
2019020114,561,561,764,114,38,6,38,1,6.02
2019020115,796,796,839,134,38,6,38,1,8
2019020116,577,577,727,114,38,4,38,1,5.98
