"player","position","position_type","game_id","game_date","season","session","team","opponent","is_home","player_num","player_team_num"
"CODY.GOLOUBEF","D","D",2019020001,"2019-10-02",20192020,"R","OTT","TOR",0,29,"OTT29"
"MIKKEL.BOEDKER","L","F",2019020001,"2019-10-02",20192020,"R","OTT","TOR",0,89,"OTT89"
"JASON.SPEZZA","C","F",2019020001,"2019-10-02",20192020,"R","TOR","OTT",1,19,"TOR19"
"JUSTIN.HOLL","D","D",2019020001,"2019-10-02",20192020,"R","TOR","OTT",1,3,"TOR3"
"TIMOTHY.LILJEGREN","D","D",2019020001,"2019-10-02",20192020,"R","TOR","OTT",1,37,"TOR37"
"CODY.GOLOUBEF","D","D",2019020001,"2019-10-02",2019020001,"R","OTT","TOR",0,29,"OTT29"
"MIKKEL.BOEDKER","L","F",2019020001,"2019-10-02",2019020001,"R","OTT","TOR",0,89,"OTT89"
"JASON.SPEZZA","C","F",2019020001,"2019-10-02",2019020001,"R","TOR","OTT",1,19,"TOR19"
"JUSTIN.HOLL","D","D",2019020001,"2019-10-02",2019020001,"R","TOR","OTT",1,3,"TOR3"
"TIMOTHY.LILJEGREN","D","D",2019020001,"2019-10-02",2019020001,"R","TOR","OTT",1,37,"TOR37"
"PHEONIX.COPLEY","G","G",2019020002,"2019-10-02",20192020,"R","WSH","STL",0,1,"WSH1"
"TRAVIS.BOYD","C","F",2019020002,"2019-10-02",20192020,"R","WSH","STL",0,72,"WSH72"
"TYLER.LEWINGTON","D","D",2019020002,"2019-10-02",20192020,"R","WSH","STL",0,78,"WSH78"
"CARL.GUNNARSSON","D","D",2019020002,"2019-10-02",20192020,"R","STL","WSH",1,4,"STL4"
"MACKENZIE.MACEACHERN","L","F",2019020002,"2019-10-02",20192020,"R","STL","WSH",1,28,"STL28"
"ZACH.SANFORD","L","F",2019020002,"2019-10-02",20192020,"R","STL","WSH",1,12,"STL12"
"ADAM.GAUDETTE","C","F",2019020003,"2019-10-02",20192020,"R","VAN","EDM",0,88,"VAN88"
"OSCAR.FANTENBERG","D","D",2019020003,"2019-10-02",20192020,"R","VAN","EDM",0,5,"VAN5"
"BRANDON.MANNING","D","D",2019020003,"2019-10-02",20192020,"R","EDM","VAN",1,26,"EDM26"
"PATRICK.RUSSELL","R","F",2019020003,"2019-10-02",20192020,"R","EDM","VAN",1,52,"EDM52"
"TOMAS.JURCO","R","F",2019020003,"2019-10-02",20192020,"R","EDM","VAN",1,92,"EDM92"
"ERIK.KARLSSON","D","D",2019020004,"2019-10-02",20192020,"R","S.J","VGK",0,65,"S.J65"
"EVANDER.KANE","L","F",2019020004,"2019-10-02",20192020,"R","S.J","VGK",0,9,"S.J9"
"JONNY.BRODZINSKI","C","F",2019020004,"2019-10-02",20192020,"R","S.J","VGK",0,22,"S.J22"
"JIMMY.SCHULDT","D","D",2019020004,"2019-10-02",20192020,"R","VGK","S.J",1,4,"VGK4"
"NICOLAS.HAGUE","D","D",2019020004,"2019-10-02",20192020,"R","VGK","S.J",1,14,"VGK14"
"NICOLAS.ROY","C","F",2019020004,"2019-10-02",20192020,"R","VGK","S.J",1,10,"VGK10"
"JAYCE.HAWRYLUK","C","F",2019020005,"2019-10-03",20192020,"R","FLA","T.B",0,8,"FLA8"
"MARK.PYSYK","D","D",2019020005,"2019-10-03",20192020,"R","FLA","T.B",0,13,"FLA13"
"JAN.RUTTA","D","D",2019020005,"2019-10-03",20192020,"R","T.B","FLA",1,44,"T.B44"
"BRYAN.LITTLE","C","F",2019020006,"2019-10-03",20192020,"R","WPG","NYR",0,18,"WPG18"
"CARL.DAHLSTROM","D","D",2019020006,"2019-10-03",20192020,"R","WPG","NYR",0,23,"WPG23"
"DAVID.GUSTAFSSON","C","F",2019020006,"2019-10-03",20192020,"R","WPG","NYR",0,19,"WPG19"
"GREG.MCKEGG","C","F",2019020006,"2019-10-03",20192020,"R","NYR","WPG",1,14,"NYR14"
"MICHEAL.HALEY","C","F",2019020006,"2019-10-03",20192020,"R","NYR","WPG",1,38,"NYR38"
"EVAN.RODRIGUES","C","F",2019020007,"2019-10-03",20192020,"R","BUF","PIT",0,71,"BUF71"
"JOHN.GILMOUR","D","D",2019020007,"2019-10-03",20192020,"R","BUF","PIT",0,58,"BUF58"
"CHAD.RUHWEDEL","D","D",2019020007,"2019-10-03",20192020,"R","PIT","BUF",1,2,"PIT2"
"JOHN.MARINO","D","D",2019020007,"2019-10-03",20192020,"R","PIT","BUF",1,6,"PIT6"
"JUUSO.RIIKOLA","D","D",2019020007,"2019-10-03",20192020,"R","PIT","BUF",1,50,"PIT50"
"CARSON.SOUCY","D","D",2019020009,"2019-10-03",20192020,"R","MIN","NSH",0,21,"MIN21"
"VICTOR.RASK","C","F",2019020009,"2019-10-03",20192020,"R","MIN","NSH",0,49,"MIN49"
"DANIEL.CARR","L","F",2019020009,"2019-10-03",20192020,"R","NSH","MIN",1,26,"NSH26"
"MATT.IRWIN","D","D",2019020009,"2019-10-03",20192020,"R","NSH","MIN",1,52,"NSH52"
"DAVID.KREJCI","C","F",2019020010,"2019-10-03",20192020,"R","BOS","DAL",0,46,"BOS46"
"STEVEN.KAMPFER","D","D",2019020010,"2019-10-03",20192020,"R","BOS","DAL",0,44,"BOS44"
"COREY.PERRY","R","F",2019020010,"2019-10-03",20192020,"R","DAL","BOS",1,10,"DAL10"
"TAYLOR.FEDUN","D","D",2019020010,"2019-10-03",20192020,"R","DAL","BOS",1,42,"DAL42"
"MICHAEL.STONE","D","D",2019020011,"2019-10-03",20192020,"R","CGY","COL",0,26,"CGY26"
"TOBIAS.RIEDER","C","F",2019020011,"2019-10-03",20192020,"R","CGY","COL",0,16,"CGY16"
