"game_id","game_date","season","session","game_status","away_team","home_team","game_venue","game_datetime","EST_time_convert","EST_date"
"2014020001",2014-10-08,"20142015","R","Final","MTL","TOR","Air Canada Centre","2014-10-08T23:00:00Z","2014-10-08 19:00:00",2014-10-08
"2014020002",2014-10-08,"20142015","R","Final","PHI","BOS","TD Garden","2014-10-08T23:30:00Z","2014-10-08 19:30:00",2014-10-08
"2014020003",2014-10-08,"20142015","R","Final","VAN","CGY","Scotiabank Saddledome","2014-10-09T02:00:00Z","2014-10-08 22:00:00",2014-10-08
"2014020004",2014-10-08,"20142015","R","Final","S.J","L.A","STAPLES Center","2014-10-09T02:00:00Z","2014-10-08 22:00:00",2014-10-08
"2014020005",2014-10-09,"20142015","R","Final","CBJ","BUF","First Niagara Center","2014-10-09T23:00:00Z","2014-10-09 19:00:00",2014-10-09
"2014020006",2014-10-09,"20142015","R","Final","N.J","PHI","Wells Fargo Center","2014-10-09T23:00:00Z","2014-10-09 19:00:00",2014-10-09
"2014020007",2014-10-09,"20142015","R","Final","ANA","PIT","CONSOL Energy Center","2014-10-09T23:00:00Z","2014-10-09 19:00:00",2014-10-09
"2014020008",2014-10-09,"20142015","R","Final","MTL","WSH","Verizon Center","2014-10-09T23:00:00Z","2014-10-09 19:00:00",2014-10-09
"2014020009",2014-10-09,"20142015","R","Final","BOS","DET","Joe Louis Arena","2014-10-09T23:30:00Z","2014-10-09 19:30:00",2014-10-09
"2014020010",2014-10-09,"20142015","R","Final","FLA","T.B","Amalie Arena","2014-10-09T23:30:00Z","2014-10-09 19:30:00",2014-10-09
"2014020011",2014-10-09,"20142015","R","Final","NYR","STL","Scottrade Center","2014-10-10T00:00:00Z","2014-10-09 20:00:00",2014-10-09
"2014020012",2014-10-09,"20142015","R","Final","OTT","NSH","Bridgestone Arena","2014-10-10T00:00:00Z","2014-10-09 20:00:00",2014-10-09
"2014020013",2014-10-09,"20142015","R","Final","CHI","DAL","American Airlines Center","2014-10-10T00:30:00Z","2014-10-09 20:30:00",2014-10-09
"2014020014",2014-10-09,"20142015","R","Final","COL","MIN","Xcel Energy Center","2014-10-10T01:00:00Z","2014-10-09 21:00:00",2014-10-09
"2014020015",2014-10-09,"20142015","R","Final","CGY","EDM","Rexall Place","2014-10-10T01:30:00Z","2014-10-09 21:30:00",2014-10-09
"2014020016",2014-10-09,"20142015","R","Final","WPG","ARI","Gila River Arena","2014-10-10T02:00:00Z","2014-10-09 22:00:00",2014-10-09
"2014020017",2014-10-10,"20142015","R","Final","NYI","CAR","PNC Arena","2014-10-10T23:00:00Z","2014-10-10 19:00:00",2014-10-10
"2014020018",2014-10-11,"20142015","R","Final","WSH","BOS","TD Garden","2014-10-11T23:00:00Z","2014-10-11 19:00:00",2014-10-11
"2014020019",2014-10-11,"20142015","R","Final","PIT","TOR","Air Canada Centre","2014-10-11T23:00:00Z","2014-10-11 19:00:00",2014-10-11
"2014020020",2014-10-11,"20142015","R","Final","ANA","DET","Joe Louis Arena","2014-10-11T23:00:00Z","2014-10-11 19:00:00",2014-10-11
"2014020021",2014-10-11,"20142015","R","Final","OTT","T.B","Amalie Arena","2014-10-11T23:00:00Z","2014-10-11 19:00:00",2014-10-11
"2014020022",2014-10-11,"20142015","R","Final","N.J","FLA","BB&T Center","2014-10-11T23:00:00Z","2014-10-11 19:00:00",2014-10-11
"2014020023",2014-10-11,"20142015","R","Final","CAR","NYI","Nassau Coliseum","2014-10-11T23:00:00Z","2014-10-11 19:00:00",2014-10-11
"2014020024",2014-10-11,"20142015","R","Final","MTL","PHI","Wells Fargo Center","2014-10-11T23:00:00Z","2014-10-11 19:00:00",2014-10-11
"2014020025",2014-10-11,"20142015","R","Final","NYR","CBJ","Nationwide Arena","2014-10-11T23:00:00Z","2014-10-11 19:00:00",2014-10-11
"2014020026",2014-10-11,"20142015","R","Final","CGY","STL","Scottrade Center","2014-10-11T23:00:00Z","2014-10-11 19:00:00",2014-10-11
"2014020027",2014-10-11,"20142015","R","Final","DAL","NSH","Bridgestone Arena","2014-10-12T00:00:00Z","2014-10-11 20:00:00",2014-10-11
"2014020028",2014-10-11,"20142015","R","Final","BUF","CHI","United Center","2014-10-12T00:30:00Z","2014-10-11 20:30:00",2014-10-11
"2014020029",2014-10-11,"20142015","R","Final","MIN","COL","Pepsi Center","2014-10-12T01:00:00Z","2014-10-11 21:00:00",2014-10-11
"2014020030",2014-10-11,"20142015","R","Final","L.A","ARI","Gila River Arena","2014-10-12T01:00:00Z","2014-10-11 21:00:00",2014-10-11
"2014020031",2014-10-11,"20142015","R","Final","EDM","VAN","Rogers Arena","2014-10-12T02:00:00Z","2014-10-11 22:00:00",2014-10-11
"2014020032",2014-10-11,"20142015","R","Final","WPG","S.J","SAP Center at San Jose","2014-10-12T02:00:00Z","2014-10-11 22:00:00",2014-10-11
"2014020033",2014-10-12,"20142015","R","Final","TOR","NYR","Madison Square Garden","2014-10-12T23:00:00Z","2014-10-12 19:00:00",2014-10-12
"2014020034",2014-10-12,"20142015","R","Final","WPG","L.A","STAPLES Center","2014-10-13T02:00:00Z","2014-10-12 22:00:00",2014-10-12
"2014020035",2014-10-13,"20142015","R","Final","COL","BOS","TD Garden","2014-10-13T17:00:00Z","2014-10-13 13:00:00",2014-10-13
"2014020036",2014-10-13,"20142015","R","Final","ANA","BUF","First Niagara Center","2014-10-13T19:00:00Z","2014-10-13 15:00:00",2014-10-13
"2014020037",2014-10-13,"20142015","R","Final","OTT","FLA","BB&T Center","2014-10-13T23:30:00Z","2014-10-13 19:30:00",2014-10-13
"2014021194",2014-10-13,"20142015","R","Final","MTL","T.B","Amalie Arena","2014-10-13T23:30:00Z","2014-10-13 19:30:00",2014-10-13
"2014020038",2014-10-14,"20142015","R","Final","NYI","NYR","Madison Square Garden","2014-10-14T23:00:00Z","2014-10-14 19:00:00",2014-10-14
"2014020039",2014-10-14,"20142015","R","Final","ANA","PHI","Wells Fargo Center","2014-10-14T23:00:00Z","2014-10-14 19:00:00",2014-10-14
"2014020040",2014-10-14,"20142015","R","Final","S.J","WSH","Verizon Center","2014-10-14T23:00:00Z","2014-10-14 19:00:00",2014-10-14
"2014020042",2014-10-14,"20142015","R","Final","DAL","CBJ","Nationwide Arena","2014-10-14T23:00:00Z","2014-10-14 19:00:00",2014-10-14
"2014020041",2014-10-14,"20142015","R","Final","BUF","CAR","PNC Arena","2014-10-14T23:30:00Z","2014-10-14 19:30:00",2014-10-14
"2014020043",2014-10-14,"20142015","R","Final","COL","TOR","Air Canada Centre","2014-10-14T23:30:00Z","2014-10-14 19:30:00",2014-10-14
"2014020044",2014-10-14,"20142015","R","Final","N.J","T.B","Amalie Arena","2014-10-14T23:30:00Z","2014-10-14 19:30:00",2014-10-14
"2014020045",2014-10-14,"20142015","R","Final","CGY","NSH","Bridgestone Arena","2014-10-15T00:00:00Z","2014-10-14 20:00:00",2014-10-14
"2014020046",2014-10-14,"20142015","R","Final","EDM","L.A","STAPLES Center","2014-10-15T02:30:00Z","2014-10-14 22:30:00",2014-10-14
"2014020047",2014-10-15,"20142015","R","Final","BOS","DET","Joe Louis Arena","2014-10-16T00:00:00Z","2014-10-15 20:00:00",2014-10-15
"2014020048",2014-10-15,"20142015","R","Final","CGY","CHI","United Center","2014-10-16T00:00:00Z","2014-10-15 20:00:00",2014-10-15
"2014020049",2014-10-15,"20142015","R","Final","EDM","ARI","Gila River Arena","2014-10-16T02:30:00Z","2014-10-15 22:30:00",2014-10-15
"2014020050",2014-10-16,"20142015","R","Final","S.J","NYI","Nassau Coliseum","2014-10-16T23:00:00Z","2014-10-16 19:00:00",2014-10-16
"2014020051",2014-10-16,"20142015","R","Final","DAL","PIT","CONSOL Energy Center","2014-10-16T23:00:00Z","2014-10-16 19:00:00",2014-10-16
"2014020052",2014-10-16,"20142015","R","Final","N.J","WSH","Verizon Center","2014-10-16T23:00:00Z","2014-10-16 19:00:00",2014-10-16
"2014020057",2014-10-16,"20142015","R","Final","CAR","NYR","Madison Square Garden","2014-10-16T23:00:00Z","2014-10-16 19:00:00",2014-10-16
"2014020053",2014-10-16,"20142015","R","Final","BOS","MTL","Centre Bell","2014-10-16T23:30:00Z","2014-10-16 19:30:00",2014-10-16
"2014020054",2014-10-16,"20142015","R","Final","COL","OTT","Canadian Tire Centre","2014-10-16T23:30:00Z","2014-10-16 19:30:00",2014-10-16
"2014020055",2014-10-16,"20142015","R","Final","STL","L.A","STAPLES Center","2014-10-17T02:30:00Z","2014-10-16 22:30:00",2014-10-16
"2014020056",2014-10-17,"20142015","R","Final","FLA","BUF","First Niagara Center","2014-10-17T23:00:00Z","2014-10-17 19:00:00",2014-10-17
"2014020058",2014-10-17,"20142015","R","Final","CGY","CBJ","Nationwide Arena","2014-10-17T23:00:00Z","2014-10-17 19:00:00",2014-10-17
"2014020059",2014-10-17,"20142015","R","Final","DET","TOR","Air Canada Centre","2014-10-17T23:30:00Z","2014-10-17 19:30:00",2014-10-17
"2014020060",2014-10-17,"20142015","R","Final","NSH","WPG","MTS Centre","2014-10-18T00:00:00Z","2014-10-17 20:00:00",2014-10-17
"2014020061",2014-10-17,"20142015","R","Final","VAN","EDM","Rexall Place","2014-10-18T01:30:00Z","2014-10-17 21:30:00",2014-10-17
"2014020062",2014-10-17,"20142015","R","Final","MIN","ANA","Honda Center","2014-10-18T02:00:00Z","2014-10-17 22:00:00",2014-10-17
"2014020063",2014-10-18,"20142015","R","Final","BOS","BUF","First Niagara Center","2014-10-18T23:00:00Z","2014-10-18 19:00:00",2014-10-18
"2014020064",2014-10-18,"20142015","R","Final","COL","MTL","Centre Bell","2014-10-18T23:00:00Z","2014-10-18 19:00:00",2014-10-18
"2014020065",2014-10-18,"20142015","R","Final","CBJ","OTT","Canadian Tire Centre","2014-10-18T23:00:00Z","2014-10-18 19:00:00",2014-10-18
"2014020066",2014-10-18,"20142015","R","Final","TOR","DET","Joe Louis Arena","2014-10-18T23:00:00Z","2014-10-18 19:00:00",2014-10-18
"2014020067",2014-10-18,"20142015","R","Final","S.J","N.J","Prudential Center","2014-10-18T23:00:00Z","2014-10-18 19:00:00",2014-10-18
"2014020068",2014-10-18,"20142015","R","Final","NYI","PIT","CONSOL Energy Center","2014-10-18T23:00:00Z","2014-10-18 19:00:00",2014-10-18
"2014020069",2014-10-18,"20142015","R","Final","FLA","WSH","Verizon Center","2014-10-18T23:00:00Z","2014-10-18 19:00:00",2014-10-18
"2014020070",2014-10-18,"20142015","R","Final","PHI","DAL","American Airlines Center","2014-10-19T00:00:00Z","2014-10-18 20:00:00",2014-10-18
"2014020071",2014-10-18,"20142015","R","Final","NSH","CHI","United Center","2014-10-19T00:30:00Z","2014-10-18 20:30:00",2014-10-18
"2014020072",2014-10-18,"20142015","R","Final","STL","ARI","Gila River Arena","2014-10-19T01:00:00Z","2014-10-18 21:00:00",2014-10-18
"2014020073",2014-10-18,"20142015","R","Final","T.B","VAN","Rogers Arena","2014-10-19T02:00:00Z","2014-10-18 22:00:00",2014-10-18
"2014020074",2014-10-19,"20142015","R","Final","MIN","L.A","STAPLES Center","2014-10-19T19:00:00Z","2014-10-19 15:00:00",2014-10-19
"2014020075",2014-10-19,"20142015","R","Final","S.J","NYR","Madison Square Garden","2014-10-19T21:00:00Z","2014-10-19 17:00:00",2014-10-19
"2014020076",2014-10-19,"20142015","R","Final","CGY","WPG","MTS Centre","2014-10-19T23:00:00Z","2014-10-19 19:00:00",2014-10-19
"2014020077",2014-10-19,"20142015","R","Final","STL","ANA","Honda Center","2014-10-20T00:00:00Z","2014-10-19 20:00:00",2014-10-19
